
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at org.tanukisoftware.wrapper.demo.DemoApp.doAction(DemoApp.java:690)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at org.tanukisoftware.wrapper.demo.DemoAppMainFrame.actionPerformed(DemoAppMainFrame.java:355)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.AbstractButton.fireActionPerformed(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.AbstractButton$Handler.actionPerformed(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.DefaultButtonModel.fireActionPerformed(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.DefaultButtonModel.setPressed(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.plaf.basic.BasicButtonListener.mouseReleased(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Component.processMouseEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at javax.swing.JComponent.processMouseEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Component.processEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Container.processEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Component.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Container.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Component.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.LightweightDispatcher.retargetMouseEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.LightweightDispatcher.processMouseEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.LightweightDispatcher.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Container.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Window.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.Component.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue.access$400(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue$3.run(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue$3.run(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue$4.run(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue$4.run(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventQueue.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.pumpOneEventForFilters(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.pumpEventsForFilter(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.pumpEventsForHierarchy(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.pumpEvents(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.pumpEvents(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.awt.EventDispatchThread.run(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | Caused by: java.io.IOException: CreateProcess error=2, The system cannot find the file specified
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.ProcessImpl.create(Native Method)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.ProcessImpl.<init>(Unknown Source)
